dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,3900,2635.1428571428573,4060.0,2085.1846953443905,4614.0,994.5804149679566,3781.5292307692307,5804.587259630836,2309.6186678684358,5906.885385522714,1135.8792218609308,109.69557107697788,148.48454909036812,32.66175436277206,137.7182965665592,21.07899982060659
1.5,9109,2603.3333333333335,3927.0,2076.9861433869187,4007.0,950.6,3735.5068613459216,5744.226042234746,2390.074016633568,5549.565742953308,1149.9910438514867,66.14644062225263,89.54039943090551,20.507047663450006,83.05652426592096,13.21597013565441
2.5,13928,2921.044117647059,4867.2,2286.0,4859.0,1185.4158242178878,3971.1692992533026,6344.5643374042465,2599.5126077709383,6080.13521471968,1294.4106136814294,54.56924582486555,75.12227282618849,17.072124857409463,69.11884491241253,10.877610079256264
3.5,20121,3259.8888888888887,5118.0,2312.2,4971.0,1241.0,4135.713483425277,6555.3259980438725,2643.728361591526,6227.263190162249,1340.3033981539786,46.84585048524049,64.81825008558337,14.442688838893854,59.17146594686101,9.444579117159838
4.5,32936,3689.909090909091,5851.0,2468.4,5701.952116286082,1291.8,4471.764391547244,6993.685465925853,2743.2004344529023,6698.045258993334,1388.534919698257,37.31414940006255,50.984527279178124,11.382772876041525,47.32878359172979,7.764201579831331
5.5,32617,4284.6,6339.0,2545.0,6292.0,1390.0,4841.607535947512,7384.61590183976,2768.2805037887683,7088.6971179617085,1460.9999519723806,38.90550818230066,54.05593150923193,12.191025573718187,49.98267671577001,8.61058287841879
6.5,29379,4621.0,7079.0,2766.0,6768.0,1506.4998786953636,5235.192212124306,7956.48941705366,2956.793653400732,7550.244695992074,1554.7319985095546,41.568792385548086,57.08215430098245,12.675529769693775,53.17928628764881,9.301080628743415
7.5,21928,4864.964285714285,7397.6,2831.4,7015.6,1402.8277209045618,5510.369390733309,8320.147601823048,3016.7212923108978,7879.43434008782,1552.9882577484761,50.195502781427926,69.62502628571629,15.094934483107942,64.43077043231008,11.728235383276198
8.5,18375,4845.833333333333,7443.6,2890.0,6949.0,1366.2,5535.29349659864,8388.546355739954,3054.2850322201084,7939.944064380623,1546.989494746202,56.882794550021366,78.30190301895479,16.44777708276396,72.90137570158996,13.324143404820948
9.5,14620,5287.032258064516,7988.600293236977,3067.8,7580.0,1383.0,5866.230027359781,8920.34439982496,3237.9057698421984,8473.01853262533,1597.4927751479156,68.52379746114211,94.76006002873085,20.173930838862148,88.40900333760547,16.175287792856654
10.5,12905,4230.0,6584.9514493182305,2758.5293126343045,6232.350246672989,1105.4,5617.74219294847,8424.318870633131,3073.110979971726,7894.659273881473,1441.2434158651542,76.83510307000783,105.05880696935245,22.345333305339302,97.96203377009185,16.9794666979418
11.5,11101,4056.0,6269.0,2720.0,5926.0,1023.4,5486.169984686065,8194.401190450255,3028.7888046169387,7628.000324188078,1335.509721327172,80.21565503837759,109.56175485464786,23.952610661774486,100.46164769308166,16.98101405347247
12.5,11208,4367.6,6930.0,2903.4,6339.0,1132.1,5830.82806923626,8749.490816802409,3199.284521135954,8167.68486044851,1434.067132036696,82.95437773663541,113.87554430996863,24.903842030850697,104.25016587722193,17.377504555847747
13.5,9735,4297.75,6708.066524141775,2831.0,6305.0,1082.8398866809905,5961.1101181304575,8938.65529132386,3224.546888744215,8310.195178280608,1426.5747549513485,94.44436053828832,130.43923476822025,28.093770256164735,121.65086897579695,20.163128049182518
14.5,6955,3708.2,6043.6605119479555,2718.4,5593.0,995.8462313220073,5452.230194104961,8314.531738861826,3166.5825692278513,7753.495730426168,1340.5527558745255,108.8547289124628,148.71519992618087,32.50937766580026,139.30091829049735,22.60534133713447
15.5,2589,3946.0,6208.0,2798.0,5668.0,919.6,5363.257242178447,8444.041501247835,3198.2268837953966,7673.981313859304,1225.8232998178164,168.82733200849188,234.0499526556203,51.73537317921998,216.71958855351562,33.660152751851975
