"ID","location_mean","comm_mean","subway","radius_mean","Popu2010","SUM_bup10"
"110000",6.68610174178479,10246.7144714103,1,13609.5105431546,1882.7262,2598.07
"120000",6.20484236190089,8821.75869317083,1,11034.9906752251,1109.0783,1820.95
"130100",6.04256111995335,8798.35450639627,NA,11115.2210926698,283.4942,232.38
"130200",5.99854080901529,8829.69537660875,NA,11881.8725041539,318.7171,574.56
"130300",5.87664066498796,7292.61017347945,NA,9455.93348527747,102.967,161.81
"130400",6.11816223973617,8326.77459790737,NA,10749.2993805728,144.5338,158.88
"130500",6.35961681408257,7383.043112551,NA,9354.97954965639,67.0154,69.63
"130600",6.04115013393165,7681.52957530559,NA,10230.2053714632,113.8521,108.26
"130700",6.20229577399614,7151.12793391955,NA,10164.524829892,106.0605,136.82
"130800",6.13374633101102,8771.17140610299,NA,13574.3762408764,63.4229,50.38
"130900",6.54847264247942,7275.31368977844,NA,9905.53652640419,53.6795,62.25
"131000",6.24152903520096,6494.00804468235,NA,7973.0129319325,86.8066,144.31
"131100",6.1978459631385,7250.56078542702,NA,9133.8504955177,52.2147,92.31
"140100",5.91551292389845,6396.71853043965,NA,7599.30183363297,342.6519,406.08
"140200",5.77170943265373,7913.39851835154,NA,9591.52782503163,173.7514,203.88
"140300",5.16980264841871,5900.46165838038,NA,6529.10119414136,72.2155,108.56
"140400",5.79850802511246,9173.44178210751,NA,10967.0018602982,76.4841,108.06
"140500",5.94481045129051,9834.02978194959,NA,11025.66344734,47.6945,32.5
"140700",5.84473926207347,5893.87329238481,NA,7778.35816720603,63.5651,108.31
"140800",6.41692867181298,9351.12381320159,NA,12559.883153915,68.0036,162.88
"140900",6.22952289988095,8082.79367869305,NA,11086.7966553209,54.4683,75.69
"141000",6.23401946886445,8017.91272639423,NA,10493.5761716203,94.405,146.81
"141100",6.07617177040186,7316.18383371321,NA,9813.98652332142,32.0142,35.38
"150100",6.9928236627163,6813.21626352223,NA,9423.71366170357,198.0774,219.06
"150200",6.40296083637178,6616.44070047916,NA,8371.94904385367,209.6851,347.13
"150400",6.24601412431225,7679.47257075837,NA,11071.2706010802,133.3526,211.07
"150500",7.00508244909651,7907.20918520295,NA,10987.7834948866,89.8895,100.44
"150600",7.24962295310922,8408.89142348588,NA,12805.7139186445,58.2544,111.63
"150700",6.64028668258837,6463.02770491522,NA,9397.46303019516,34.4934,65.88
"150800",7.15870987248568,7994.84582217672,NA,11820.410792407,54.1721,92.38
"150900",6.78401065822611,6536.46830006213,NA,10532.5264971206,35.6135,44.25
"210100",6.43905048369006,7148.48149015081,1,9071.76093066434,625.5921,793.52
"210200",6.09190588562082,8066.90508918756,1,10570.3553363013,408.7733,550.32
"210300",5.76721633726517,6276.82371624722,NA,7427.7593161162,154.4084,238.5
"210400",5.86542657414945,6640.69320247183,NA,8269.33823628059,143.1014,202.5
"210600",5.81018359408822,7192.21469384876,NA,9996.31536131395,86.5576,85.31
"210700",5.86091342183541,6697.31670846479,NA,8127.77124715165,109.1799,109.88
"210800",6.17644926223254,6815.75777888433,NA,8183.69037793464,103.2048,133.81
"211000",5.66110724884953,6089.42643031525,NA,7080.68200609018,78.9137,130.26
"211200",6.08879742904453,7230.9218557716,NA,9630.97527309284,45.6073,33.94
"211300",5.89969735075323,6783.11784463404,NA,9687.42547613174,62.5187,84.69
"211400",6.05298060524864,7569.33892284122,NA,9827.36226709403,97.0208,196.82
"220100",6.35665717958726,7130.44768294988,1,10018.3291656578,419.3073,521.56
"220200",6.08926250720338,6979.16637890708,NA,10584.3156373195,197.5152,292.07
"220300",6.49312063780581,7163.57443596123,NA,9824.78541828698,61.3625,79.94
"220500",5.92960501317879,6925.15018362497,NA,9697.31511095912,50.6702,69.51
"220700",6.43028117553032,7158.39357996463,NA,11176.3395595024,61.2816,92.44
"230100",6.51870728177691,7523.49806471837,1,10692.0418614197,587.8939,657.39
"230200",6.32054345219795,6362.1430835567,NA,9395.8324698357,155.3788,149.5
"230600",6.08485031655134,8640.74196647452,NA,12186.7994602196,164.9825,223.57
"230800",6.21367913839896,6287.0594493731,NA,9624.07724945816,88.1711,138.63
"231000",5.81274548135239,6304.68679645481,NA,9638.56030445205,96.5154,122.93
"310000",6.34711977553936,8821.2523956616,1,10277.1409147777,2231.5474,2173.76
"320100",6.64880864460492,8377.0121527389,1,9359.95663543393,716.5292,560.38
"320200",5.91682738058662,5932.26751809237,1,6723.78095763455,354.3719,489
"320300",6.43551083169718,7880.43209474757,NA,10987.1187813125,196.7214,212.63
"320400",5.92436609233874,6049.04575911963,NA,7139.50344742047,329.0918,477.19
"320500",6.09268399102465,5997.4618954939,1,7341.12668329146,407.2081,628.31
