dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,3156,2625.659090909091,3892.0,2275.83883522964,3707.0,971.4,4130.783586818758,6363.079309516394,2369.133086042712,6129.754203629664,1161.3126143316329,147.9593466412154,208.7055752556257,32.3515721200168,200.80122839708275,21.58266540930778
1.5,14124,2548.3529411764707,3962.0,2222.0,3760.9927323040583,994.8,4048.88282356273,6318.096944073681,2317.6069729500964,6023.978417896902,1168.0657646775194,70.70772672435659,99.59102752931813,15.311874809394462,93.89634366670434,9.88615096514525
2.5,18427,2898.4333333333334,4738.0,2290.8747301660446,4632.0,1171.2,4304.747110218701,6727.908354964905,2497.1490096550206,6505.515210094083,1280.1630327519374,62.30783917039842,87.35222402685388,13.716430281557875,82.2664301185901,8.622523111729343
3.5,23711,3502.5526315789475,5494.0,2333.0,5268.0,1260.2,4619.826198810679,7305.237664511033,2596.3747751159203,6947.246371994935,1344.2846829546095,55.238813238923264,79.36169119245459,12.325525330631958,73.57144735753546,8.048926686370965
4.5,28634,4156.666666666667,6386.0,2460.0,5969.0,1343.2,5214.768282461409,8102.943798027605,2720.3624906544383,7683.8960922313245,1395.9755091094019,51.16854985682622,74.12426520653906,11.797741353249316,68.18063904420652,7.634063388225648
5.5,21663,4380.954545454545,6645.0,2578.0,6350.0,1332.2,5120.50122328394,7903.22452461647,2761.576020195707,7540.365461416277,1395.867716080759,54.91769040109496,78.56583944441947,13.193765329190763,73.60050068331715,9.015692704478676
6.5,18131,5006.0,7651.2,2719.4,7138.0,1374.4,5373.985163532072,8419.58722137991,2859.4876343000037,7912.532105341131,1432.6568230760997,57.35362770482901,82.34472303096928,13.896542141005344,77.55847559493822,10.313254590180597
7.5,18304,5468.5,8436.0,2775.0,8054.0,1524.372145950175,5922.40854458042,9352.76342065969,2939.021363273591,8744.362346748276,1556.1119830929104,63.022734098586824,90.32679372019504,14.341320926426867,84.79749834093,10.88468462095738
8.5,15285,6044.6,9199.0,3034.0,8735.0,1498.2,6240.5658488714425,9676.460444950066,3076.321124739214,9146.542190350105,1557.1494485152868,66.25737577687612,94.79666182857511,15.546161140627046,88.90519130873332,11.920600249757708
9.5,17139,5682.25,9007.2,3004.2,8432.0,1330.8,6342.7807923449445,9992.598707745543,3079.0616401621232,9369.134914137387,1513.3824106697434,65.48982103510103,95.38914040592707,15.294423961067286,90.28018015326249,12.570166391613219
10.5,25604,6079.0,9812.0,3099.5631655585926,9252.0,1483.4700250250578,6810.740587408216,10845.932035190479,3214.6599088353883,10560.710003675678,1769.5834231823435,56.44914422983274,83.40218146246349,13.9844159894888,84.99271399022193,13.23000567778034
11.5,21045,5316.571428571428,8487.0,2943.8,7900.0,1365.4,6582.698123069613,10309.752735613049,3093.829654972093,10214.625631825389,1716.8970488200976,67.79706760144657,97.80863288990474,14.592051349529097,100.77040031886177,15.439053623089125
12.5,16852,4521.333333333334,7557.0,2868.6301983258677,6933.0,1197.9,6389.038393069072,10150.4271779485,3050.297619976178,10178.851974855093,1627.0662979492463,80.06404812313886,114.80280434796737,16.618406819118015,124.04583304313795,17.84866820829408
13.5,17835,4342.75,7577.0,2946.0,6757.4,1163.4,6723.363779086067,10659.06056565409,3117.4855679091597,10337.177240818424,1653.374661486121,82.41218775269058,118.82821070860906,16.554239324371146,121.4532512772794,17.223693311582203
14.5,15975,4164.75,7376.0,2975.0,6541.0,1130.4,6529.062723004695,10359.371826339537,3156.4728327372954,9776.785958406033,1490.9688253581833,87.205118042566,124.02159914559425,17.82893776909009,122.77602608243495,15.711028722499353
15.5,7365,3954.4444444444443,6307.0,2733.2,5633.0,1047.173394597808,6199.314324507807,9542.778531094336,3049.320431101758,8746.952409935133,1408.2043997825294,132.42476108567243,181.02361167392522,27.092380545447327,172.21167536058718,23.071751161675483
16.5,4685,2709.0,4695.0,2337.8,4210.0,722.2611530969383,5081.088367129136,8321.341313022353,2926.434561755601,7652.261561187593,1172.1441569228705,162.58989400931395,228.9495486199416,33.77193647598899,213.52966698875375,25.658334843962464
