dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,5117,2550.818181818182,3991.0,2047.6264366791324,3654.0,940.3333333333334,3456.0994723470785,5184.945518029293,2240.503248898175,4824.8903353059,1057.4195520956655,86.05911367490081,118.09677303492437,26.52748159401163,108.47236438926414,16.471867465363136
1.5,13999,2641.6363636363635,3894.0,2040.3552942863187,3862.0,945.6666666666666,3469.8789913565256,5200.141147667919,2277.8155612809355,4915.553697310453,1075.5598518772595,52.38799059583929,71.80066223339774,16.01311815486514,65.99651444765749,9.870874170210982
2.5,18398,2773.25,4311.0,2182.3333333333335,4043.0,1047.0,3579.3868355256004,5534.337906459571,2439.9317985351086,5081.210917329207,1162.94299563855,44.94666001719377,62.00233845077305,14.024212041860354,56.458452755613784,8.935846481245799
3.5,29479,3120.5,4817.0,2392.3333333333335,4691.0,1209.0,4007.3281997354047,6122.66626716636,2637.5602107437576,5771.151045059488,1326.9600752627875,38.763938285475064,53.66561438523032,11.99333204459976,48.901468213017374,7.9103109357537145
4.5,31878,3502.375,5333.987827789992,2567.0,4940.833333333334,1300.3333333333333,4365.8865675387415,6624.784271937301,2764.3228456044662,6092.197373482976,1403.5659206767627,38.53111472974473,53.71573433811023,11.776321959337684,48.729754446035,7.962352537298583
5.5,26351,3845.0,5826.0,2655.3333333333335,5491.0,1398.3333333333333,4634.524723919396,6984.069936175463,2842.211474702003,6434.6332878707235,1486.113911526148,41.74483928534477,57.9662995600379,12.80471844571692,52.59211874850012,9.48497044319949
6.5,34298,4463.533333333333,6611.0,2836.6666666666665,6165.5,1478.3333333333333,5109.4654790366785,7636.270090035042,2981.1662613426815,7039.614428889285,1557.5408883188018,37.287668263145136,52.27742120381472,11.694911772247774,47.906145158586106,8.620104056561376
7.5,29325,4825.473684210527,7250.0,2984.0,6703.0,1527.3333333333333,5400.882489343563,8094.458111753192,3103.5342286508694,7410.5581184614175,1590.75394323449,41.00755478514646,57.830860993128674,12.857286440904868,51.97865956792743,9.771149287237517
8.5,23740,5087.714285714285,7498.0,2967.6457764505685,7116.333333333333,1465.3333333333333,5615.971651221567,8353.523509314591,3089.7503768585766,7782.923817197483,1570.9391361220428,47.250269889265134,66.31300564001317,14.359270264976113,60.839145324804555,11.178648107200983
9.5,18747,5119.0,7718.0,3067.0,7240.0,1422.0,5693.7747372913,8626.526093480557,3186.589536279082,7935.000135225733,1578.5543566231681,56.3119738274799,78.51228341826723,16.4644576032632,71.37572370884777,13.298967988928654
10.5,11139,5193.0,7891.9005826709645,2933.0,7271.226731342017,1368.6666666666667,5904.995152168058,8840.331116945414,3164.129617640099,8170.314969245731,1555.4986401589465,74.58386756501224,103.28895624280432,22.18363907863147,93.21607490517471,16.863037779540562
11.5,7884,5288.0,7615.0,2981.2977278530225,7417.900561797713,1362.1640547636443,6032.285895484526,8963.822539936122,3169.1218216512866,8417.332295835222,1554.3009720402354,95.9601770711641,129.99136064669946,26.290517670610598,121.01645102546935,21.21679313048855
12.5,6106,4855.705882352941,6999.333333333333,2798.0,6890.915012089519,1103.9873157848115,5823.521945627252,8527.288760931087,3099.121736795424,8106.840279998663,1377.9723373412962,107.29385902207731,147.30215579441824,31.449659681519776,135.11249053179014,22.848576626569777
13.5,5819,4330.0,6711.0,2680.0,6083.272728644116,982.777712701577,6074.048118233373,8958.491139316213,3004.7982579411914,8198.803034014574,1420.6644463871642,130.66209892239544,174.00476397277376,33.49354192861905,161.56240197280812,27.046178467382983
14.5,3463,4065.0,6361.938294232627,2803.8749797478768,5768.0,1020.1312490363622,5892.071614207334,8743.275796483358,3144.38539246851,7963.647709334174,1395.4842810226228,161.54593008208138,218.3603857397479,43.50443556667004,198.07985202856074,33.616063412363104
15.5,4122,3042.964285714286,4835.0,2474.0,4432.0,731.4462444376899,5137.092673459486,7653.474322222988,2934.8972005848127,6999.041679162308,1189.8171299394182,145.70944059550564,199.19158737116177,41.683208384846026,183.20964789887356,29.64308205523657
16.5,5840,3155.0,5158.825429467751,2593.126239053286,4644.0,729.6666666666666,5564.034246575342,8321.277326499268,3025.5371826763853,7548.60091215937,1259.0256800603102,136.1541897433101,184.66347383312015,36.46766911672463,168.87936407703614,27.182674486026897
17.5,4364,2119.75,3792.0,2117.9525864636307,3200.0,637.1507233487038,4630.675985334556,7034.502929208973,2796.5387430588075,6406.691928358445,1070.302652283879,155.54446874898318,211.9144527570257,43.24331951590988,196.87099771742623,29.738998585000743
18.5,5828,2528.2,4739.0,2568.6666666666665,3905.0,648.1379013490363,4847.508236101578,7710.188015203148,3084.810392826967,6950.999806339448,1063.9878120670503,132.9745787024795,179.8367276263649,37.30529078048997,170.36202489065235,25.18544617608001
19.5,2571,2915.8387096774195,5094.0,2553.6666666666665,4380.0,660.3710713490859,4586.54609101517,7325.640562865041,3002.8278657123656,6630.3023828987725,1016.5467175394266,179.13180539033158,247.14964178123086,51.91116438444705,228.86411354631628,34.82862894418809
20.5,269,2637.0,5427.663594933973,2480.503106710419,4315.0,645.4012718119684,3892.6133828996276,6730.095491786039,2934.3421265995858,5791.330051502083,941.191095330577,508.2663377928645,732.3525182798173,154.1965433878049,654.8990357975568,99.29873147372473
